555.0,0.0
555.0,230.0
440.0,300.0
430.0,500.0
160.0,550.0
310.0,250.0
400.0,210.0
440.0,220.0
400.0,300.0
555.0,220.0
670.0,300.0
730.0,530.0
980.0,550.0
740.0,220.0
700.0,220.0
710.0,290.0
550.0,220.0
550.0,600.0
400.0,530.0
310.0,550.0
140.0,530.0
420.0,310.0
440.0,230.0
680.0,400.0
690.0,470.0
740.0,550.0
1000.0,520.0
980.0,480.0
890.0,390.0
800.0,260.0
680.0,300.0
555.0,50.0
555.0,100.0
555.0,150.0
555.0,200.0
500.0,260.0
460.0,290.0
440.0,350.0
440.0,400.0
440.0,450.0
260.0,550.0
210.0,550.0
170.0,480.0
200.0,430.0
230.0,380.0
260.0,330.0
290.0,280.0
790.0,550.0
840.0,550.0
890.0,550.0
940.0,550.0
930.0,430.0
860.0,340.0
830.0,290.0
550.0,270.0
550.0,320.0
550.0,370.0
550.0,420.0
550.0,470.0
550.0,520.0
550.0,570.0
600.0,250.0
650.0,280.0
